org_cst_key,org_name,org_ogt_code,org_state_incorporated,n53_municipal_type,org_metropolitan_area_ext,org_fips_place_ext,org_prefix_ext,org_city_name_ext,org_fips_county_subdivision_ext
6b99f2e3-f5b1-4c8f-9270-15564077fc2d,Village of St. Bernard,City,OH,Village,NULL,3969470,City of,St Bernard,NULL
22272456-2184-492f-883d-155ab332bcca,Sant La (Haitian Neighborhood Center),"Civic Group/Non-profit ",NULL,NULL,NULL,NULL,NULL,NULL,NULL
db0a8d98-daab-4798-bd1c-155cb42b831b,Town of Fairfax,City,SC,Town,NULL,4524370,Town of,Fairfax,NULL
382a8195-db6b-49d8-90d2-156114adfd94,Town of Waterboro,City,ME,Town,NULL,2303180530,Town of,Waterboro,NULL
6f095984-dbae-449d-a97e-1562966be08c,Doorways to Dreams,Organization,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5c5b1a9e-a62e-4ce1-84f9-1565f6abbaef,Town of Sebastopol,City,MS,Town,NULL,2866280,Town of,Sebastopol,NULL
b283e902-9413-42de-849f-1566c9fdf2a0,Safe Routes to School National,Public School/School District,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4cb05948-9b3a-4bc6-8a84-1567432ef8e6,Township of Thornton,City,IL,Township,NULL,NULL,NULL,NULL,NULL
0b594909-9b43-4e7e-ae76-15682d169f9a,Go Carr Go,Organization,NULL,NULL,NULL,NULL,NULL,NULL,NULL
334b6801-ce3b-4954-a5de-1568c0e2074c,Town of Arcadia,City,NY,Town,NULL,3611702440,Town of,Arcadia,NULL
8ea954d7-87fa-4c9c-bc99-156afda10bb2,City of Jeffersonville,City,IN,City,NULL,1838358,City of,Jeffersonville,NULL
bedfe927-f61d-4857-b2c1-156b30284a63,City of Cashmere,City,WA,City,NULL,5310495,City of,Cashmere,NULL
1d494f45-4149-4dba-8fc7-156b8a9434bd,City of North Platte,City,NE,City,35820,3135000,City of,North Platte,NULL
3ad0e5da-172f-45c5-8629-156dcbedf1cc,City of South Gorin,City,MO,City,NULL,2968870,City of,South Gorin,NULL
df5c903c-495b-4cb2-b1eb-156e3126900c,Town of New Pekin,City,IN,Town,NULL,1853388,Town of,New Pekin,NULL
94de728e-200f-47a9-b74d-156ec81efe6d,Village of St Paris,City,OH,Village,NULL,3969708,Village of,St Paris,NULL
995bf4fb-9204-4b19-bb21-15706667e327,Village of Dunfermline,City,IL,Village,NULL,1721098,Village of,Dunfermline,NULL
015529c2-9665-4a9b-9627-1570a2dad22c,University of Florida,College/University,NULL,NULL,NULL,NULL,NULL,NULL,NULL
eedca4f1-0895-44f6-b9f7-1570aae33679,City of Middletown,City,KY,City,NULL,2151978,City of,Middletown,NULL
78330498-9e78-47a4-8a2f-1570b36946c7,Town of Truro,City,MA,Town,NULL,2500170605,Town of,Truro,NULL
3b2749a9-df5a-4e11-b800-1571cd6864e0,Iglesia Monte De Sion,Private Sector Company,NULL,NULL,NULL,NULL,NULL,NULL,NULL
aee94229-fdf9-43f9-aaf8-1572355b65e5,City of Taopi,City,MN,City,NULL,2764210,City of,Taopi,NULL
ec658611-ab16-4736-9475-157256570340,Village of Arlington,City,WI,Village,NULL,5502800,Village of,Arlington,NULL
dd827555-0d7c-4839-ac96-1573deac0572,Village of Muttontown,City,NY,Village,NULL,3649330,Village of,Muttontown,NULL
89b6ff79-64e0-4483-b820-15766e7433d8,City of Millersburg,City,IA,City,NULL,1952230,City of,Millersburg,NULL
1dc2214f-7daa-4e0f-860f-157777883f06,Florida Impact,Civic Group/Non-profit,NULL,NULL,NULL,NULL,NULL,NULL,NULL
